"Tetragnathidae","Tetragnatha laboriosa ","13","LH","Ja","8","Araneae","Tetragnatha","laboriosa","","LB1","","","","","","L","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 8 LB1","Tetragnatha laboriosa","13 Ja 8","12115"
"Theridiidae","Theridion hidalgo ","13","LH","Ja","8","Araneae","Theridion","hidalgo","","LB1","","","","","","L","","","","","BEAT","","","","","","1","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 8 LB1","Theridion hidalgo","13 Ja 8","12115"
"Theridiidae","Theridion spp. ","13","LH","Ja","8","Araneae","Theridion","spp.","","LB1","","","","","","L","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 8 LB1","Theridion spp.","13 Ja 8","12115"
"Oxyopidae","Oxyopes scalaris ","13","LH","Ja","8","Araneae","Oxyopes","scalaris","","LB2","","","","","","L","","","","","BEAT","","","","2","","","","","2-Feb","X","","","x","","","2","94","2/26/1994","LH Ja 8 LB2","Oxyopes scalaris","13 Ja 8","12115"
"Philodromidae","Philodromus spp. ","13","LH","Ja","8","Araneae","Philodromus","spp.","","LB2","","","","","","L","","","","","BEAT","","","","2","","","","","2-Feb","X","","","x","","","2","94","2/26/1994","LH Ja 8 LB2","Philodromus spp.","13 Ja 8","12115"
"Salticidae","Metaphidippus pervagus ","13","LH","Ja","8","Araneae","Metaphidippus","pervagus","","LB2","","","","","","L","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 8 LB2","Metaphidippus pervagus","13 Ja 8","12115"
"Theridiidae","Theridion spp. ","13","LH","Ja","8","Araneae","Theridion","spp.","","LB2","","","","","","L","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 8 LB2","Theridion spp.","13 Ja 8","12115"
"Thomisidae","Tmarus spp. ","13","LH","Ja","8","Araneae","Tmarus","spp.","","LB2","","","","","","L","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 8 LB2","Tmarus spp.","13 Ja 8","12115"
"Oxyopidae","Oxyopes scalaris ","13","LH","Ja","8","Araneae","Oxyopes","scalaris","","MS2","","","","","","M","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 8 MS2","Oxyopes scalaris","13 Ja 8","12115"
"Tetragnathidae","Tetragnatha laboriosa ","13","LH","Ja","8","Araneae","Tetragnatha","laboriosa","","US","","","","","","U","","","","","BEAT","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 8 US","Tetragnatha laboriosa","13 Ja 8","12115"
"Araneidae","Hypsosinga spp. ","13","LH","Ja","9","Araneae","Hypsosinga","spp.","","LS2","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 9 LS2","Hypsosinga spp.","13 Ja 9","12115"
"Theridiidae","Theridion spp. ","13","LH","Ja","9","Araneae","Theridion","spp.","","LS2","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 9 LS2","Theridion spp.","13 Ja 9","12115"
"Theridiidae","Theridion spp. ","13","LH","Ja","9","Araneae","Theridion","spp.","","US","","","","","","U","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 9 US","Theridion spp.","13 Ja 9","12115"
"Linyphiidae","Ceratinopsis purpurescens ","13","LH","Ja","10","Araneae","Ceratinopsis","purpurescens","","LB1","","","","","","L","","","","","BEAT","","","","","","1","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 10 LB1","Ceratinopsis purpurescens","13 Ja 10","12115"
"Linyphiidae","unidentified immatures ","13","LH","Ja","10","Araneae","unidentified","immatures","","LB1","","","","","","L","","","","","BEAT","","","","2","","","","","2-Feb","X","","","x","","","2","94","2/26/1994","LH Ja 10 LB1","unidentified immatures","13 Ja 10","12115"
"Philodromidae","Philodromus spp. ","13","LH","Ja","10","Araneae","Philodromus","spp.","","LB1","","","","","","L","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 10 LB1","Philodromus spp.","13 Ja 10","12115"
"Salticidae","Metaphidippus pervagus ","13","LH","Ja","10","Araneae","Metaphidippus","pervagus","","LB1","","","","","","L","","","","","BEAT","","","","","1","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 10 LB1","Metaphidippus pervagus","13 Ja 10","12115"
"Theridiidae","Theridion spp. ","13","LH","Ja","10","Araneae","Theridion","spp.","","LB1","","","","","","L","","","","","BEAT","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 10 LB1","Theridion spp.","13 Ja 10","12115"
"Linyphiidae","Ceratinopsis purpurescens ","13","LH","Ja","10","Araneae","Ceratinopsis","purpurescens","","LB2","","","","","","L","","","","","BEAT","","","","","","1","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 10 LB2","Ceratinopsis purpurescens","13 Ja 10","12115"
"Salticidae","Metaphidippus pervagus ","13","LH","Ja","10","Araneae","Metaphidippus","pervagus","","LB2","","","","","","L","","","","","BEAT","","","","","1","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Ja 10 LB2","Metaphidippus pervagus","13 Ja 10","12115"
"Linyphiidae","unidentified immatures ","13","LH","Ja","10","Araneae","unidentified","immatures","","MS1","","","","","","M","","","","","BEAT","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 10 MS1","unidentified immatures","13 Ja 10","12115"
"Theridiidae","Theridion spp. ","13","LH","Ja","10","Araneae","Theridion","spp.","","MS1","","","","","","M","","","","","BEAT","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 10 MS1","Theridion spp.","13 Ja 10","12115"
"Philodromidae","Philodromus spp. ","13","LH","Ja","10","Araneae","Philodromus","spp.","","US","","","","","","U","","","","","BEAT","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 10 US","Philodromus spp.","13 Ja 10","12115"
"Uloboridae","Uloborus glomosus ","13","LH","Ja","13","Araneae","Uloborus","glomosus","","LS1","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 13 LS1","Uloborus glomosus","13 Ja 13","12115"
"Thomisidae","Misumenops spp. ","13","LH","Ja","13","Araneae","Misumenops","spp.","","LS2","","","","","","L","","","","","Sweep","","","","2","","","","","2-Feb","X","","x","x","","","2","94","2/26/1994","LH Ja 13 LS2","Misumenops spp.","13 Ja 13","12115"
"Philodromidae","Philodromus spp. ","13","LH","Ja","13","Araneae","Philodromus","spp.","","LS2","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 13 LS2","Philodromus spp.","13 Ja 13","12115"
"Linyphiidae","unidentified immatures ","13","LH","Ja","13","Araneae","unidentified","immatures","","LS2","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 13 LS2","unidentified immatures","13 Ja 13","12115"
"Oxyopidae","Oxyopes scalaris ","13","LH","Ja","13","Araneae","Oxyopes","scalaris","","LS2","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 13 LS2","Oxyopes scalaris","13 Ja 13","12115"
"Philodromidae","Philodromus spp. ","13","LH","Ja","13","Araneae","Philodromus","spp.","","MS1","","","","","","M","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Ja 13 MS1","Philodromus spp.","13 Ja 13","12115"
"Oxyopidae","Oxyopes salticus ","13","LH","Qt","3","Araneae","Oxyopes","salticus","","LS1","","","","","","L","","","","","Sweep","","","","2","","","","x","2-Feb","X","","","","","","2","94","2/26/1994","LH Qt 3 LS1","Oxyopes salticus","13 Qt 3","12115"
"Theridiidae","Theridion spp. ","13","LH","Qt","3","Araneae","Theridion","spp.","","LS1","","","","","","L","","","","","Sweep","","","","1","","","","x","2-Feb","X","","","","","","1","94","2/26/1994","LH Qt 3 LS1","Theridion spp.","13 Qt 3","12115"
"Thomisidae","Misumenops asperatus ","13","LH","Qt","3","Araneae","Misumenops","asperatus","","LS1","","","","","","L","","","","","Sweep","","","","","","1","","x","2-Feb","X","","","","","","1","94","2/26/1994","LH Qt 3 LS1","Misumenops asperatus","13 Qt 3","12115"
"Thomisidae","Misumenops spp. ","13","LH","Qt","3","Araneae","Misumenops","spp.","","LS1","","","","","","L","","","","","Sweep","","","","1","","","","x","2-Feb","X","","","","","","1","94","2/26/1994","LH Qt 3 LS1","Misumenops spp.","13 Qt 3","12115"
"Oxyopidae","Oxyopes salticus ","13","LH","Qt","5","Araneae","Oxyopes","salticus","","LS1","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Qt 5 LS1","Oxyopes salticus","13 Qt 5","12115"
"Oxyopidae","Oxyopes scalaris ","13","LH","Qt","5","Araneae","Oxyopes","scalaris","","LS1","","","","","","L","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Qt 5 LS1","Oxyopes scalaris","13 Qt 5","12115"
"Tetragnathidae","Tetragnatha laboriosa ","13","LH","Qt","5","Araneae","Tetragnatha","laboriosa","","MS1","","","","","","M","","","","","Sweep","","","","1","","","","","2-Feb","X","","x","x","","","1","94","2/26/1994","LH Qt 5 MS1","Tetragnatha laboriosa","13 Qt 5","12115"
"Araneidae","Eustala spp. ","13","LH","Qt","5","Araneae","Eustala","spp.","","MS2","","","","","","M","","","","","Sweep","","","","1","","","","","2-Feb","X","","","x","","","1","94","2/26/1994","LH Qt 5 MS2","Eustala spp.","13 Qt 5","12115"
